State,avg_monthly_ssi_payment,caps,arp_caregiver_family_support,ui_good_cause_caregiving,spousal_impoverishment,hcbs_expenditure_ratio,hcbs_user_ratio,pct_ltss_hcbs_older_adults,home_health_aides_per100,arp_waiting_list_diversion,arp_tech_telehealth,arp_cross_sector_investments,livability_transportation,livability_housing,hcbs_presumptive_eligibility,section_811_pra,vr_spending_career,vr_spending_training,special_ed_policy_score,arp_workforce_training,buy_in_working_people,subminimum_wage_14c,medicaid_eligibility_threshold,ssi_auto_enroll_medicaid,medically_needy,ssi_criteria_209,arp_quality_improvement,smd_demonstration_projects,initial_ar,reconsidered_ar,total_ar,adl_medicaid_coverage_pct,private_ltci_per1000,section_811_pct_disability,fema_shmp,family_responsibility_class,sdpi_minmax,sdpi_zscore,sdpi_hybrid,region,domain_Income & Cash Support,domain_Medicaid & LTC,domain_HCBS,domain_Employment & VR,domain_ARP / Pandemic Relief,domain_Housing & Accessibility
Kansas,0.3133907594979596,0.2429149797570849,0.2222222222222221,0.0,1,0.0,0,1,0,1,0.0,0.0,0.4779661016949153,0.7110091743119265,1,1,0.4088952654232424,0.2702127659574468,0,0,1,0.7423312883435581,0,0.5624999999999999,0.6655172413793102,0.3343108504398827,0.4608695652173913,0.5789473684210527,0,1,0.3225806451612903,0.6363636363636364,0,0,0,0,0.3291296639587971,-0.1184748073546683,0.2781633353774807,Midwest,0.4221303758498554,0.47169726824899233,0.4298245614035088,0.35535982993106185,0.28051529790660223,0.34741289368056094
Kentucky,0.3499608459311092,0.1659919028340081,0.2903225806451613,1.0,0,1.0,0,0,0,1,0.0,0.0,0.2135593220338983,0.0,1,1,0.0703012912482065,0.0446808510638298,1,0,1,0.0,0,0.0,0.0,0.4838709677419355,0.1130434782608695,0.4736842105263157,1,0,0.1290322580645161,0.6818181818181818,0,0,0,0,0.2717505709827951,-0.3827602818006631,0.019958853653267,South,0.32714401195626014,0.24025974025974023,0.41228070175438597,0.2787455355780091,0.23389434315100513,0.33993588926684376
Louisiana,0.3936570083479354,0.0850202429149797,0.4193548387096775,0.5,1,1.0,1,0,1,1,1.0,0.0,0.0677966101694915,0.268348623853211,1,1,0.1262553802008608,0.202127659574468,1,1,1,0.2760736196319019,1,0.5546875000000001,0.3999999999999998,0.6480938416422287,0.1217391304347826,0.2631578947368421,1,0,0.2903225806451613,0.6818181818181818,1,1,0,0,0.5244813121845975,0.1858563603116182,0.363517710854602,South,0.4811268217725542,0.725974025974026,0.7105263157894738,0.2761141648518077,0.5901823281907433,0.48873792527681176
Maine,0.1944400941564452,0.1093117408906882,0.100358422939068,1.0,1,0.0,0,1,0,1,1.0,0.3513513513513513,0.5050847457627118,0.4013761467889907,1,1,0.3098995695839311,0.3,1,1,0,0.4171779141104293,1,0.78125,0.5793103448275861,1.0,0.2869565217391304,0.7894736842105263,1,0,0.2580645161290322,0.9090909090909092,0,1,0,1,0.5642541122589614,0.3990814220477679,0.572854323121689,Northeast,0.5389591017142462,0.6412001791312135,0.46491228070175444,0.5067693709235901,0.6231110493382582,0.5736818047774843
Maryland,0.5271730619001741,0.2631578947368421,0.3154121863799283,0.5,0,1.0,0,0,0,1,0.0,0.0,0.5711864406779662,0.7431192660550459,1,1,0.351506456241033,0.2872340425531915,1,0,0,0.6809815950920243,0,0.6406249999999999,0.6655172413793102,0.4692082111436951,0.2521739130434782,0.5263157894736842,0,0,0.3870967741935484,0.1818181818181818,0,1,0,0,0.3616215679614601,-0.0916213968971063,0.3425882157506877,South,0.3373505078729029,0.12104791759964172,0.42105263157894735,0.45493052347156215,0.26126434990390107,0.6539233716385507
Massachusetts,0.3507439310011701,0.5506072874493927,0.0931899641577061,1.0,0,0.5,1,1,1,1,0.0,0.3513513513513513,0.5542372881355933,0.5917431192660548,1,1,0.6097560975609756,0.4936170212765957,1,1,1,0.4601226993865031,1,0.7343749999999999,0.5827586206896551,0.844574780058651,0.2869565217391304,0.6842105263157895,1,1,0.1935483870967742,0.0909090909090909,0,1,0,0,0.5606496537098986,0.4150205186115895,0.6074188160872616,Northeast,0.6872070163594325,0.3819525302283923,0.8640350877192983,0.6408739545560186,0.4552496395413646,0.6709410992644343
Michigan,0.4995301489579635,0.0769230769230769,0.1469534050179211,0.0,1,1.0,1,0,0,1,0.0,0.3513513513513513,0.5152542372881357,0.805045871559633,1,1,0.2281205164992826,0.1936170212765957,1,0,0,0.3742331288343555,1,0.4609375,0.4137931034482758,0.5777126099706744,0.1391304347826087,0.5263157894736842,0,0,0.3870967741935484,0.3636363636363636,1,1,0,0,0.4052917850751652,0.0132834986877009,0.323711033277874,Midwest,0.32087950552036437,0.5396327810120913,0.587719298245614,0.19899266665255844,0.2729058651919802,0.6281747408244065
Minnesota,0.5674236492702833,0.5182186234817814,0.100358422939068,0.5,1,0.0,0,1,1,1,0.0,0.2972972972972973,0.8169491525423729,0.8761467889908255,0,1,0.8407460545193686,0.6382978723404256,0,1,0,0.6319018404907975,0,0.2109374999999999,0.4482758620689655,0.4868035190615835,0.4956521739130435,0.5789473684210527,1,0,0.0,0.5909090909090909,0,1,0,1,0.5226882580097116,0.3315703838914905,0.5477708760095062,Midwest,0.3775274447219778,0.43416927899686525,0.4298245614035088,0.6527364418376479,0.4822179823582348,0.6016163664307115
Mississippi,0.1668754893520162,0.2631578947368421,0.8458781362007168,0.5,0,0.5,1,0,1,1,0.0,0.0,0.040677966101695,0.1100917431192661,1,0,0.2109038737446197,0.0872340425531915,1,0,1,0.2269938650306746,0,0.8984375,0.5241379310344826,0.5542521994134898,0.0782608695652174,0.0,1,1,0.2258064516129032,0.7727272727272727,0,0,0,0,0.3316510098905506,-0.2001939505851579,0.1184740669993759,South,0.6408952733964015,0.32812360053739364,0.5833333333333334,0.2562829453321214,0.32068983429432235,0.20198965770825758
Missouri,0.2554424436368824,0.4939271255060729,0.3942652329749104,0.5,0,0.0,0,0,0,1,0.0,0.1486486486486486,0.5745762711864407,0.4862385321100917,0,1,0.4289813486370157,0.3127659574468085,0,1,1,0.6012269938650306,0,0.421875,0.5241379310344826,0.1964809384164222,0.2782608695652174,0.4210526315789473,1,1,0.5806451612903226,0.5909090909090909,0,1,1,0,0.4600171125328218,-0.0092459762197772,0.3126464033238953,Midwest,0.5757405905572711,0.3021495745633676,0.07017543859649121,0.46074357498721374,0.4701957918647961,0.6506774184003721
Montana,0.0,0.0161943319838056,0.2186379928315412,0.5,1,0.0,0,0,0,1,0.0,0.0,0.4372881355932204,0.5894495412844036,1,1,0.3314203730272597,0.1829787234042553,1,1,0,0.3128834355828218,1,0.4921875,0.393103448275862,0.527859237536657,0.2608695652173913,0.7368421052631579,1,0,0.3870967741935484,0.8181818181818182,0,1,0,0,0.4056277675545353,-0.1638739499263395,0.2000565283894408,West,0.40119058528836754,0.45875503806538287,0.2894736842105263,0.3318206330035842,0.41325125967482207,0.5775617155516327
Nebraska,0.1833202824693357,0.9190283400809716,0.3942652329749104,0.0,0,0.0,0,1,0,1,0.5,0.3513513513513513,0.4288135593220339,0.3761467889908257,1,1,0.2682926829268293,0.1829787234042553,0,0,0,0.9141104294478528,1,0.421875,0.7,0.3929618768328446,0.6434782608695652,0.4736842105263157,1,1,0.4193548387096774,0.8636363636363636,0,0,0,0,0.3339464139028335,-0.0167930545037799,0.3858075866627982,Midwest,0.5695853330019763,0.3662337662337662,0.41228070175438597,0.34134545894473434,0.4815158075326378,0.38914124119911875
Nevada,0.3361785435288947,0.1093117408906882,0.082437275985663,1.0,0,0.0,0,1,0,1,1.0,0.0,0.4813559322033899,0.8027522935779815,1,0,0.2869440459110473,0.1,0,1,0,0.3190184049079752,0,0.5624999999999999,0.4275862068965517,0.2873900293255131,0.0347826086956521,0.631578947368421,0,0,0.2903225806451613,0.5,0,1,0,0,0.330435885904953,-0.1957686072794757,0.2140646795513865,West,0.24606519224992818,0.13251231527093596,0.4385964912280702,0.42649061270475563,0.5195366474468859,0.3419171380960085
New Hampshire,0.0794048556421333,0.2672064777327935,0.2222222222222221,0.5,1,0.0,0,1,0,1,0.0,0.0,0.5423728813559322,0.6077981651376145,0,1,0.0,0.4,0,0,1,0.9754601226993864,0,1.0,0.9896551724137932,0.4281524926686216,0.2,1.0,1,1,0.4838709677419355,0.5,1,1,0,0,0.4422720071499485,0.1315347997495974,0.4771300486679052,Northeast,0.6652380526754483,0.6413793103448276,0.3333333333333333,0.46886503067484664,0.23703703703703702,0.48819678917519144
New Jersey,0.0558339865411373,0.0445344129554655,0.1505376344086021,0.5,0,1.0,0,0,0,1,0.0,0.3513513513513513,0.5542372881355933,0.7018348623853211,1,1,0.6111908177905309,0.3212765957446808,1,1,0,0.3496932515337421,0,0.296875,0.3275862068965517,0.4838709677419355,0.2260869565217391,0.3157894736842105,0,1,0.4193548387096774,0.1363636363636363,1,1,0,0,0.384532819557719,-0.2267539377646336,0.1418484367742844,Northeast,0.3759891321654583,0.20913569189431258,0.3859649122807018,0.44554016626723847,0.45466265704694875,0.6143723662109115
New Mexico,0.1555207517746639,0.0,0.2508960573476702,1.0,1,0.0,0,0,0,1,0.0,0.0,0.705084745762712,0.8623853211009175,1,0,0.6183644189383071,0.548936170212766,1,1,0,0.5276073619631899,1,0.6953124999999999,0.603448275862069,0.721407624633431,0.2,0.5263157894736842,1,0,0.4516129032258064,0.6363636363636364,0,1,0,0,0.457031133700622,-0.0193895843162534,0.3516868739271138,West,0.5039756299389836,0.4628302731751007,0.25438596491228066,0.6737269877785658,0.4084826762246117,0.5096385809805185
New York,0.3532498047022629,0.145748987854251,0.1863799283154122,0.5,1,0.5,0,1,0,1,0.0,1.0,0.6915254237288135,0.8555045871559631,1,1,0.7403156384505021,1.0,1,1,0,0.380368098159509,0,0.5546875000000001,0.4586206896551723,0.8885630498533725,0.1826086956521739,0.7368421052631579,1,0,0.2258064516129032,0.4545454545454545,0,0,0,1,0.50141437564552,0.4070893569819311,0.6337448587891995,Northeast,0.5037178010280897,0.41616659202866096,0.5394736842105263,0.6551709341525027,0.5614981039945977,0.5275398569627182
North Carolina,0.2157400161850402,0.3360323886639675,0.5304659498207885,0.0,0,1.0,0,0,0,1,0.0,0.2972972972972973,0.1016949152542373,0.6146788990825687,1,1,0.3902439024390244,0.1702127659574468,1,1,0,0.2638036809815949,1,0.4843749999999999,0.3620689655172414,0.2903225806451613,0.1565217391304348,0.2631578947368421,0,1,0.2580645161290322,0.5454545454545454,0,1,1,0,0.4411946310432854,-0.0724598554635321,0.2130430399615448,South,0.3747503521598723,0.2725033587102553,0.37719298245614036,0.20606508734451653,0.4973808310414201,0.7217723147143962
